Business Name,Category,Full Address,City,Postal Code,Latitude,Longitude,Website URL,Phone Number
Camping municipal d'Uzerche,Camping,,,,45.4190954,1.5684736,,
Heissenstein (Scouts et Guides de France),Camping,,,,48.3519022,7.3997509,,
Camping de La Guyonnière,Camping,5 Rue de la Loire,,,47.3641041,-0.8608823,https://www.campinglaguyonniere.fr/,+33241778956
Zone de Bivouac d'Aubert,Camping,,,,42.8388545,0.1436533,https://www.pyrenees-parcnational.fr/fr/des-decouvertes/sejourner-dans-le-parc-national/ou-dormir-en-montagne/bivouac,
Aire de Services Fesenheim,Aire,,,,47.91849,7.5314407,https://fessenheim.fr/tourisme/camping-cars/,+33389486002
Les Sauterelles,Camping,,,,42.565721,2.4193598,,+33468056372
Camping de Saint-Vreguet,Camping,,,,48.5464257,-2.5216944,,
Camping municipal,Camping,,,,47.8446142,-0.1955453,,
Camping Le Pusset,Camping,,,,48.6068728,-2.4641246,http://www.campingdupusset.fr/,+33661308815
Camping du Longeau,Camping,,,,49.0198047,5.6349204,https://www.foxycamp.com/,
Camping municipal,Camping,,,,43.4801682,2.1456545,https://www.dourgne-mairie.fr/page.php?id=159&parent=32,
Ghost camp site,Camping,,,,44.3016222,3.2949363,,
Camping 3 étoiles Le Vieux Moulin - Vensac,Camping,,,,45.3987643,-1.0485557,https://www.campingduvieuxmoulin.fr/,+33556094598
Camping à la ferme,Camping,,,,43.84407,5.4960764,,+33490752862
Parc des Sérigons,Camping,300 Chemin des Sérigons,La Roche-des-Arnauds,05400,44.5640212,5.9173653,https://www.camping-serigons.com,+33492578177+33680133950
Les lacs d’Osselle,Camping,,,,47.1392589,5.8509847,https://www.grandbesancon.fr/infos-pratiques/sports-loisirs/base-de-loisirs-osselle/,
Domaine de la Planche,Camping,,,,45.8378197,3.6662588,http://www.domainedelaplanche.ecles.fr,+33473518126
Camping Municipal du Breil,Camping,,,11300,43.0467065,2.2222641,https://www.limoux.fr/decouvrir-limoux/tourisme/camping-municipal-le-breil/,
Mas de l'Alzine,Camping,,,,42.8014682,2.7199915,,
Camping municipal,Camping,,,,47.7034532,-1.3780125,,
Camping du Coucou,Camping,,,,45.2475235,1.1378129,,
Mont Blanc Plage,Camping,,,,45.9240009,6.6539576,https://mont-blanc-plage.net/,+33450581428
Les Chappas,Camping,,Pontis,05160,44.5147101,6.3606017,https://www.camping-les-chappas.com/,+33492442209
Kervilor,Camping,,,,47.6022008,-3.0365915,,
Domaine de la Fraite,Camping,,Thoiria,39130,46.5215164,5.7232897,http://www.alafraite.com/,+33384258021
Moulin de Borie Neuve,Camping,,,,44.72171,0.2360961,,
Aire de Camping-Cars de Mervent,Aire,,,,46.5236207,-0.7644174,https://www.vendee-tourisme.com/aires-de-camping-car-en-vendee/aire-de-camping-car-de-mervent/mervent/accampdl085v502smb,
Camping Le Parc,Camping,,,,46.1233328,0.6592888,https://www.camping-le-parc-availles.fr/,
Parc résidentiel de la Vallée du Preto,Camping,,Pléneuf Val André,22370,48.5928279,-2.517412,https://www.parc-du-preto.com/,+33296631979
Demi-Lune,Camping,,,,45.8790675,6.6362824,,
Camping l'Estela,Camping,,,,44.9365307,3.9850937,,+33471038224
L'Oasis du Berry,Camping,3 Rue de la Pierre Plate,Saint-Gaultier,36800,46.6339774,1.4086978,https://camping-oasisduberry.fr,
Unnamed Camping 482593147,Camping,,,,47.1352653,2.1618417,,
Unnamed Camping 488475613,Camping,,,,43.5454125,6.4378144,,
Entre Terre et Mer,Camping,Route d’Arzano,Pont-Scorff,56620,47.8494843,-3.4121938,https://www.camping-terre-et-mer.com,+33297325656
Unnamed Camping 496381347,Camping,,,,44.3043801,3.9831631,,
Unnamed Camping 497365830,Camping,,,,42.1689555,9.5298705,,
Bivouac du Rognon des Drus,Camping,,,,45.9360967,6.9518839,,
Espace Eau Vive,Camping,Isle de la Serre,,,45.8503362,5.4125394,https://www.espace-eauvive.com/,+33437632030
Camping Chez la Mère Michon,Camping,170 Chemin Combe-Bernard,Châtelus,38680,45.063424,5.3946263,,+33476360727
Camping Municipal,Camping,,,,48.9155702,7.369482,https://www.wingensurmoder.fr/DECOUVRIR/Tourisme/Camping-municipal.html,
Camping Campita,Camping,,,,42.3920042,9.1748326,https://campita.fr/de/index.html,
Camping Chez Damas,Camping,,,,-21.5931075,168.108035,,
Les Pins,Camping,515 Route des Pins,,26350,45.1862897,5.0206289,https://www.bienvenue-a-la-ferme.com/auvergnerhonealpes/drome/montchenu-drome/ferme/ferme-les-pins/60552,+33475456385+33679011352
Camping Municipal de Wasselonne ***,Camping,,,,48.6369451,7.4313197,https://www.campingwasselonne.fr/,+33388870008
Les Canadieres,Camping,,,,48.5777234,2.4833905,,
Unnamed Camping 579383377,Camping,,,,48.9210641,2.7215816,,
Camping de Bois Vert,Camping,14 Rue de Boisseau,Le Tallud,79200,46.6422762,-0.2672381,http://www.camping-boisvert.com,+33549647843
Le Village de l'Armorique,Camping,18 Rue de Milin Avel,Plestin-les-Grèves,22310,48.6786677,-3.6245535,https://www.villagearmorique.com,+33235216963
Ferme de la Belvindière,Camping,,,,48.1591832,1.0133861,,
L'Eau Vive,Camping,,,,42.5552847,2.3775363,https://leauvive-camping.com,+33468055414
Camping Del Bosc,Camping,,,,42.5564512,2.3849304,https://www.camping-del-bosc.com,+33468055454
Camping du Vieux Château,Camping,6 Blabot-Bas,Rauzan,33420,44.7826382,-0.1272414,https://www.vieuxchateau.fr,
Camping du Bois Coudrais,Camping,,,,48.4545483,-1.650999,,
Camping Mas des Chênes,Camping,,,,44.0223536,4.0454389,,
Les Magnarelles,Camping,,,,44.0032722,3.6592497,,
Unnamed Camping 685482481,Camping,,,,46.9770487,0.6693531,,
Camping de la Grande Lande,Camping,,,,47.8070242,-3.6865251,https://www.campingdelagrandelande.com,+33298710039
Bourgade,Camping,,,,44.6398386,0.6866875,,
Camping a la Ferme Des Roures,Camping,,,,44.5644658,4.9077259,,
Camping municipal La Pinède,Camping,,,,44.1257085,5.1740988,https://www.camping-lapinede-ventoux.fr/,
La Borio de Roque,Camping,,,,43.5119649,2.7531944,,
Vert Lavande,Camping,12 Impasse Raymond Fournier,BELMONT SUR RANCE,12370,43.8179604,2.7502808,,+33679656191
La Calanque,Camping,,,,47.609127,3.1197423,https://www.camping-lacalanque.fr/,+33386740455
Unnamed Camping 803558840,Camping,,,,-20.9319,167.30945,,
L'Abbaye de Landevennec,Camping,,,,48.2893746,-4.2718756,,
Unnamed Camping 831746467,Camping,,,,43.160426,6.4341904,,
Camping Le Lac de Villefort,Camping,,,,44.4612897,3.9278864,,
Martel,Aire,,,,44.933701,1.609529,,
Les Brugues,Aire,,,,43.7445521,1.7121769,,
Camping de Netcha,Camping,,,,-22.2228735,166.8467847,,+687479480
Le Gaoucher,Camping,,,,43.904263,-1.2923471,https://legaoucher.net/,+33558429300
Orio,Camping,,,,43.3655466,-1.7509961,,
Camping de Longairoux,Camping,,,,45.0789959,2.2304181,,
Les Alizés,Camping,,,,45.0800275,2.2274723,,
Domaine Saint-Laurent,Camping,,,,43.389357,1.8285129,,
Camping U Stazzu,Camping,Route Acqua Salse,,,42.9643879,9.4478811,https://camping-u-stazzu.jimdo.com,+33495354376
Camping Municipal du Lac de Pont,Camping,,,,47.467948,4.3548717,https://www.campingdulacdepont.fr/,+33380970126
Camping Aux Rives du Soleil,Camping,,,,46.446343,4.8984205,https://www.rivesdusoleil.com/,+33385303365
Les eaux douces,Camping,,,,44.823586,6.146073,https://lecampingdeseauxdo.wixsite.com/monsite,
Camping Municipal de Bouraké,Camping,,,,-21.9535978,166.0047204,,
Village des Motards,Camping,,,,47.9174024,-2.2096179,,
Ouano Surf Camp,Camping,,,,-21.8472442,165.810669,https://www.ouanosurf.com,
Les Cadichons,Camping,,,,44.5015527,1.6932385,https://www.les-cadichons.com/,+33565309156
La Truffière,Camping,Pradines,SAINT CIRQ LAPOPIE,46330,44.4482109,1.6755303,https://camping-truffiere.com/,+33565302022
Camping de Gatope,Camping,,Voh,,-20.9674809,164.6566736,,+687422768
Camping Le Lagon,Camping,,,,-20.572941,164.287828,,+687423949+687836778
Camping de Golone,Camping,,,,-20.2981137,164.0834154,,
Camping de BORABORA,Camping,,,,-20.1414106,164.0539755,,
Camping de Poingam,Camping,,,,-20.0818191,164.0257694,,
Camping de Tao,Camping,,,,-20.5850635,164.8296678,,
Camping de Billet de 500,Camping,,,,-20.6802161,164.9692392,,
Unnamed Camping 890426071,Camping,,,,-20.6888159,164.9746031,,
Camping de St Mathieu,Camping,,,,-20.3747817,164.5829361,,
Camping de Tiakan,Camping,,,,-21.0396864,165.4034135,,
Santa Marina,Camping,,,,42.8865442,9.4710387,https://www.camping-santamarina.com/,
A Casaïola,Camping,,,,42.812252,9.4850587,https://www.camping-acasaiola.com,+33495352010
Camping Le Soleil des Bastides,Camping,Route de Cordes,,,43.9843881,1.9135287,https://camping-le-soleil-des-bastides.fr/,+33563339194
La Naute,Camping,,,,46.0317727,2.2801847,https://www.lanaute.com/dodo-camping-et-gites-camping-at-la-naute-bye-byes/,+33555671254
La Brugère,Camping,,,,44.9497239,0.6681169,,
Camping Le Petit Canada,Camping,Route des Bouillouses,La Llagonne,66210,42.5193209,2.0961105,https://www.camping-lepetitcanada.fr/,+33789087898
La nozilliere,Camping,,,,45.6548459,0.7895104,,
La Rodière,Camping,,,,46.6159239,0.0675955,,
Camping du Bois de Saint Hilaire,Camping,Route de la Gare,,86190,46.6678185,-0.0026311,https://camping-st-hilaire.eu,
Le Moulin Rose,Camping,,,,47.8624153,2.5542488,,
Camping St. Gilles,Camping,,,,48.3268964,7.3606144,http://st-gilles.alsace24.net/,+33388856726
Unnamed Camping 989102766,Camping,,,,46.021936,3.652514,,
Unnamed Camping 989788228,Camping,,,,-22.3411093,166.8819884,,
Les Moraines,Camping,,,,48.1155157,7.1213436,,+33389712519
Camping à la ferme,Camping,,,,44.5106837,6.5525352,,+33492440751
Camping municipal du Moulin de la Guillou,Camping,,Lalinde,24150,44.8392868,0.7636247,,+33553583184
Camping de l'Orme Blanc,Camping,,,,43.5270512,1.7468257,,+33688698170
Val d'Aleth,Camping,,,,42.9947691,2.2555161,https://www.valdaleth.com/,
Éclaireuses et Éclaireurs Laïques de Franche-Comté - Besançon,Camping,,,,47.0979398,6.0353389,https://eclaireurslaiques.org/,+33647253495
Unnamed Camping 1067909028,Camping,,,,45.9124148,6.6593674,,
Unnamed Camping 1067909031,Camping,,,,45.9177637,6.648271,,
Air naturelle de Vernay Aime,Camping,,,,45.6269998,4.9769218,,
Aire naturelle de Amitie Nature,Camping,,,,47.2033756,5.3832709,https://alexlapo5.wixsite.com/campingamitienature,
Porz Ar Vag,Camping,,,,48.1659612,-4.2931893,,
Heidenkopf,Camping,,,,48.9618848,7.6454604,,
La Pinède,Camping,,Baerenthal,57230,48.9685383,7.5228131,,
Municipal aire naturelle Du Hohenfels,Camping,,,,49.0100386,7.6216566,https://www.communededambachneunhoffen.net/campinghotelrestaurants-gite,
Municipal,Camping,,,,47.0115913,5.1307225,,
Les Sables,Camping,,,,47.015264,5.127604,,
Camping de la Foux,Camping,,,,43.5169558,6.4790322,https://www.camping-lafoux.com/,
Ahimsa,Camping,,,,46.827807,5.1101127,,
Les Chaumettes,Camping,,,,43.6065134,6.7712511,,
Thurey,Camping,,,,46.7440571,5.119546,,
Unnamed Camping 1104433380,Camping,,,,43.833302,4.9460437,,
Les Guyots,Camping,,,,45.324372,4.8359087,,
Camping Municipal Le Marais,Camping,,,,50.3310859,1.8605078,https://www.somme-tourisme.com/le-marais/dominois/hpapic0800010499,+33322299282
Camping à la Ferme,Camping,,,,47.5994603,-3.1206548,,
Camping de la Liez - Ciela Village - Haute Marne,Camping,,,,47.8709257,5.3789055,https://www.campingliez.com/fr,+33482780023
Saint-Paul-Trois-Châteaux,Aire,,,,44.3474848,4.7704123,https://www.ladrometourisme.com/fiches/aire-camping-cars-de-saint-paul-trois-chateaux/,
Suze-la-Rousse,Aire,,,,44.2885021,4.838115,,
Les Florêts,Aire,,,,44.1609291,5.0172048,,
Pernes-les-Fontaines,Aire,,,,43.9992617,5.0571819,https://porteduventoux.com/camping-cars,
Moulin de Pacros,Camping,,,,45.4738838,3.7594437,,
Camping municipal L'étoile,Camping,,,,47.1043088,-1.8664982,,
Unnamed Camping 1141000832,Camping,,,,44.9315167,3.4509754,,
Camping du Mouton Noir,Camping,,,,43.7509303,0.9766752,http://www.lapagana.fr/camping-du-mouton-noir,
Camping municipal / Chalets / Salle communautaire,Camping,,,,48.3839495,-3.9158554,,
Camping du Fort de la Rade,Camping,,,,46.0089545,-1.1770464,https://www.pierreetvacances.com/fr-fr/fp_IXF_location-residence-le-fort-de-la-rade,+33546842828
La Margue,Camping,,,,43.8783373,2.9954801,,
Champ de Mascourbe,Camping,,,,43.8900941,2.9811631,,
La Briance,Camping,,,,44.6480418,5.057393,https://labriance.com/,+33475760500
Camping les Familles,Camping,,,,45.4362025,-1.0911765,https://campingdesfamilles.site-solocal.com/,+33556094320
Camping Coer d'Alsace,Camping,,,,48.9398129,7.029907,https://camping-coeur-alsace.fr,+33388703908
Camping et Chalet du Lac d'Aydat,Camping,16 Boulevard du Lac,,,45.6686862,2.989015,https://www.camping-lac-aydat.com/,+33473793809+33473793412
Camping de Saint-Quentin,Camping,,,,49.8549674,3.3091972,https://www.saint-quentin-tourisme.fr/hebergement/camping-municipal-de-saint-quentin,+33323626866
Camping La Caille,Camping,,,,46.567965,3.1170204,https://www.lacaille.org/camping-2/,+33470480636
Camping de Kernéjeune,Camping,,,,47.5138174,-2.4351131,https://www.camping-de-kernejeune.com/,+33297450160
Camping municipal de Keravilin,Camping,Hent Gwaz ar Gouez,Trédrez-Locquémeau,22300,48.7236101,-3.5712485,http://www.tredrez-locquemeau.fr/Camping-municipal,+33296352644
Aire naturelle d'Artaix,Camping,,,,46.2529069,4.010851,,
chez bouli,Camping,,,,-20.3683301,164.4388027,,
Camping à la ferme,Camping,,,,49.4395929,5.719201,,+33382897740
L'Ermitage,Camping,,,,45.0037812,-1.1348614,http://www.ermitage-lacanau.com/,+33556030024
Les Chesnets,Camping,8 Chemin des Perons,Verneuil-sur-Seine,78480,48.9696706,1.9595762,https://www.campingfrance.com/recherchez-votre-camping/ile-de-france/yvelines/verneuil-sur-seine/les-chesnets,+33139719960
Camping des Écossais,Camping,,,,46.6826444,2.7868416,https://www.campingstroncais.com/,
Camping Aux Mêmes,Camping,Aux Mêmes,Bellegarde,32140,43.4265737,0.6135912,https://www.gascogne-camping.fr/,+33562669145
Beau Rivage,Camping,,,,43.320379,-0.7621061,,
Ixtila,Camping,,,,43.017234,-0.9519514,https://www.camping-ixtila.fr/,+33559286309
Camping Les Bouleaux,Camping,,,,44.8505153,2.2316848,,
La Combe d'Oyans,Camping,,,,44.9796358,5.1637359,https://www.lacombedoyans.com/,
La Couvertoirade Parking,Aire,,,,43.9105766,3.3129988,https://lacouvertoirade.com/infos-tourisme/#section-2,
Del Ron,Camping,,,,44.3372095,3.4764007,https://camping-delron.com/,+33466485471
Camping municipal Bel Air,Camping,,,,44.1946712,3.6577832,,
Camping Gilles,Camping,,,,44.6369948,4.9505336,,+33475901118
Les Thermes,Aire,,,,44.0797903,6.261142,https://www.dignelesbains-tourisme.com/camping-aire-camping-car/aire-de-service-et-de-stationnement-camping-cars-des-thermes-de-digne-les-bains-digne-les-bains/,
Camping à la Ferme du Seuillet,Camping,,,,43.9472368,7.4158954,,
Camping d'Iraty,Camping,,,,43.0368449,-1.0493759,http://www.chalets-iraty.com/bungalow-meleze-1-2-3-et-4/,
Le Troumpetoun,Camping,,,,43.6491936,6.0611861,https://sites.google.com/site/campingmontmeyan/,+33494807898
Les Eouvières,Camping,,,,43.6386531,6.0607157,,
Caravaning de la Boucauderie,Camping,2 Rue Stourm,,78730,48.5684065,1.9299319,,+33130412129
La mise à l'eau,Camping,,,,43.9415887,2.3834926,,+33563795829
Unnamed Camping 1352920426,Camping,,,,42.9636856,1.514943,,
Les Sillons,Camping,,,,46.3083202,1.7671601,http://www.lacelledunoise.fr/index.php/tourisme-et-loisirs/tourisme/ou-se-loger/camping#sillons,+33555891077
Unnamed Camping 1361050287,Camping,,,,47.9351876,2.986394,,
Camping de la Baie des Crabes Chez Marie Odile,Camping,,,,-22.5426003,167.4379072,,
Les Canoles,Camping,,,,43.9511889,3.2588295,,
Camping La Bissera,Camping,,,,45.40644,5.0972347,,
Camping Petit Borindi ( chez Georgette ),Camping,,,,-21.8065463,166.5082875,,
Camping le Couspeau,Camping,Quartier Bellevue,,,44.5962763,5.1112792,https://www.couspeau.fr/,+33475533014
Berger du Val de Serre,Camping,,,,49.7367439,3.7399857,https://www.accueil-paysan.com/fr/catalog/structure/1/,+33323200004
Camping Les Granges,Camping,,,,44.9341808,1.6802016,,
Camping municipal,Camping,,,,43.9443762,2.4693641,,
Unnamed Camping 1384967053,Camping,,,,49.4699233,5.398632,,
La Magaudie,Camping,,,,45.0699007,1.430003,,
Camping de la Rivière,Camping,,,,44.7111868,2.5620682,,
Le Moulin du Rivet,Camping,,,,44.8324601,5.2822339,http://moulindurivet.com/,
Camping Au Bord de Mer,Camping,,,,42.2022836,9.554953,,
Camping L'Aventure,Camping,,,,45.459944,6.156555,https://www.campinglaventure.com/fr/,
Camping á la Ferme,Camping,,,,44.2070182,2.7793399,,
Le Touring,Camping,,,,44.1912313,2.773958,,
Le Val de la Marquise,Camping,,,,44.9064879,0.9742628,https://www.camping-dordogne-marquise.com/,+33553547410
Slow Village Biscarrosse Lac,Camping,,,,44.455842,-1.201817,https://www.slow-village.com/destinations/nouvelle-aquitaine/biscarrosse-lac/,+33545911365
Unnamed Camping 1416036287,Camping,,,,46.0905852,3.8418213,,
"Camping a la ferme d'Apcher, Salers",Camping,,Saint-Paul-de-Salers,15140,45.1337541,2.48698,,+33471407226
Carbet Galbao,Camping,,,,3.6194619,-53.2775495,,
Camping Robert,Camping,,,,45.4416531,5.5148196,,
Santa Lucia,Camping,Lieu dit Mulindinu,Sainte Lucie de Porto-Vecchio,20144,41.6966898,9.3430232,,+33495714528
Camp de Scout,Camping,,,,47.1936861,6.0369067,,
Aire Naturelle : Le Valadio,Camping,,,,44.7819034,3.6341038,,
Le Pont de Fayrac,Camping,,,,44.831202,1.1489147,,
U Ficajole,Camping,,,,42.439847,9.5224555,,
Aire Naturelle La Planchette,Camping,,,,48.9463826,0.5113494,https://www.goodcamp.fr/fr/camping/aire-naturelle-la-planchette,
Camping Les Templiers,Camping,,Roquebillière,06450,44.0159292,7.3105947,https://campinglestempliers.fr/,+33493034028
Camping de l'Amitié,Camping,,,,43.9450782,7.0123222,https://domainedelamitie.com,
Camping Municipal de Cos,Camping,,,,42.9707057,1.5729595,http://camping-municipal-cos09.fr/,+33671181038
Camping de la Barque,Camping,,,,44.4194281,4.295966,,
Camping de la Barque,Camping,,,,44.4191092,4.2953501,,
Vive la Vie,Camping,,,,45.546871,0.9550344,,
Municipal de Beaufort,Camping,,,,45.8230856,1.4916412,,
Aire de camping-car des Riceys,Aire,Rue du Parc Saint-Vincent,Les Riceys,10340,47.9928409,4.3649517,https://www.aube-champagne.com/fr/poi/aire-de-camping-car/,+33325293032
Ferme du Cret,Camping,,,,47.221603,6.5327846,https://www.camping-lecret.fr/,+33381560476
Chez Emile,Camping,,,,-22.5776119,167.5240245,,
Camping Les Berges du Doux,Camping,4640 Route du Doux,,,45.0392395,4.6885592,https://www.camping-lesbergesdudoux.com/,+33475067910
Camping du centre de plongée Babou,Camping,,,,-20.6871924,164.9827033,,
La Coccinelle,Camping,,,,46.0316524,2.9568226,https://campingcoccinelle.com/,
CSCA,Camping,,,,48.7397089,-3.0990913,,
Camping municipal de Nestavel,Camping,,,,48.3593629,-3.8783285,,
Sainte-Brigitte,Camping,,,,47.3425972,-2.4721452,,
Le moulin de Surier,Camping,,Beaumont-du-Périgord,24440,44.7848734,0.7561011,https://www.lemoulindesurier.com/accueil/,+33553249198
Les 4 Templiers,Camping,,,,43.8717733,3.3148308,,
Monaco Parc,Camping,,,,48.5130781,0.7391688,https://www.campingmonacoparc.com/,+33233735959
Les Bruyères,Camping,,,,48.4749436,0.6572137,https://www.chapelle-montligeon.fr/?page_id=159,+33233839043
Camping d'Auriac,Camping,,,,45.2014003,2.1463527,https://www.camping-lesbruyeres-auriac.com/,
Unnamed Camping 1609377990,Camping,,,,45.8775874,0.8640618,,
Aire naturelle de camping de l'étang des Sources,Camping,,,,48.2783923,-3.4269977,https://www.mael-carhaix.fr/tourisme-hebergement-camping.php,+33296247300
Camping de Port Boisé,Camping,,,,-22.3503054,166.9525933,,
Marabouts,Camping,Chemin des Orpellières,Valras-Plage,34350,43.2502972,3.3005353,,
Bache installée,Camping,,,,5.0528321,-53.0850869,,
Camping du Haut-Kœnigsbourg,Camping,,,,48.2730698,7.2901867,,+33967124320
Camping Municipal de Sézanne,Camping,,,,48.7207417,3.7034716,https://www.tourisme-en-champagne.com/camping-municipal-de-sezanne/sezanne/hpa0000000000099,
Camping Bellevue,Camping,18 Rue Bellevue 66500 RIA-SIRACH,,,42.6031277,2.3982632,https://www.campingbellevue-66.fr/,+33682118567
Domaine Provençal,Camping,,,,44.5211487,5.0593774,https://www.domaineprovencal.com/,+33630570843
Centre Equestre la Grande Bastide,Camping,,,,43.8201648,6.619951,,
Aire de camping naturelle du Bouquet,Camping,,,,44.360297,3.2303478,,
Domaine de la cigalière,Camping,Route du Thoronet,,83340,43.4213127,6.3373866,https://www.domaine-lacigaliere.com/,+33494738106+33680543645
Camping du Lac,Camping,Au Grand Étang,La Jemaye,24410,45.1587581,0.27311,https://www.campingdulac-dordogne.com,+33553915178
L'Étape en Forêt,Camping,,,,48.8332846,-1.038351,https://www.etape-en-foret.com,+33231091211
Ferme Etchemendigaraya,Camping,Maison Etchemendigaraya,Suhescun,,43.2396551,-1.2060968,https://www.chez-mendi.com,+33559376083
Municipal,Camping,,,,44.7101442,2.3589046,,
Camping Municipal de Morterolles sur Semme,Camping,,Morterolles-sur-Semme,,46.1475416,1.3652178,,
Municipal Le Val de Boulogne,Camping,,,,46.8453234,-1.489891,,
La Ferme de Cornaton,Camping,,,,46.2563208,5.0767956,https://marieclaudebasset.free.fr,+33474302563
Unnamed Camping 1723311472,Camping,,,,44.9042921,2.2049484,,
Le Mas de Nadal,Camping,400 Chemin du Mas de Nadal,Sauliac-sur-Célé,46330,44.526112,1.71972,,
La Bonne Source,Camping,,,,45.4073783,1.4855056,https://www.labonnesource.nl/,
Le pas de Ceilhes,Camping,D93,Fondamente,12540,43.836311,3.12284,http://www.lepasdeceilhes.com,+33565993512
La Clairière,Camping,1254 Chemin du Peyronnet,Lamothe-Fénelon,46350,44.809261,1.40737,https://la-clairiere-camping.fr/,
Tamier,Camping,,,,44.395512,5.471,https://www.naturisme-tamier.fr/,
Val Drôme Soleil,Camping,830 Chemin sans Souci,,26400,44.708823,5.1317815,http://www.valdromesoleil.com,+33475400157
